Name,Address,Phone
Amory First Baptist,303 1st Ave,662-256-7131
Amity Second Baptist Church,119 N Hill St,(870) 342-5823
Ammi Evangelical Baptist Church,1799 Flatbush Ave,718-282-7565
Amity Baptist Church,2468 Highway 389,(662) 567-7304
Amity,881 Amity Church Rd,(704) 240-9709
Amity First Baptist Church,218 E Texas St,(870) 342-5808
Amity,7967 N NC Highway 109,(336) 787-4779
Amity,2214 Old Line Rd.,
Amistad en Cristo (Christian Fellowship),757 S Orange Ave,(559) 545-7648
Amistad Cristiana International,3650 Browns Bridge Rd,(470) 892-6041
Amistad Cristiana Church,2006 60th St,
Amistad Cristiana,401 S Main St,432-686-0427
Anchor Way Church,40650 Anchor Way,970-879-7062
Anchor Way Baptist Church,3125 Virginia Ave,719-633-3476
Anchor Point Church,2340 Vickers Dr,(479) 739-4546
Anchor of Hope Community,6651 Moffett RD,(251) 639-0480
"Anchor Point Baptist Church, Independence",25501 E Bundschu Rd,(276) 791-0439
Anchor of Hope Baptist Church,5700 FM 439,254-721-6514
Anchor East,3801 San Mateo Blvd NE,(505) 263-2630
Anchor College Church,459 Sumark Way,(858) 525-5965
Anchor of Hope,12815 Kenai Spur Hwy,907-283-7672
Anchor Church Palos,6600 W 127th St,(708) 925-9296
"Anchor Church of Hampton Roads, Inc.",201 Market St,(757) 632-0741
Anchor Church at Portland,40 Church St,(850) 880-2161
Anchor Church,8400 Barstow NE,(505) 319-0823
Anchor Church,126 E Front St,573-620-5487
Anchor Church,4220 Belair Frontage Rd,(864) 554-0092
Anchor Church,2206 17Th St E,(205) 246-2911
Anchor Church,416 River Road,(207) 837-7484
"Anchor Baptist Church of Houston, Inc.",17330 W Little York Rd,281-859-1585
Anchor Baptist Church Inc,451 Ozora Rd,(770) 554-2250
Anchor Baptist Church,1548 Hwy 51,(501) 384-5575
Anchor Baptist Church,1009 Highway 7 S,662-234-8227
Anchor Baptist Church,16814 Pacific Way,360-642-2701
Anchor Baptist Church,3126 Riggs Ave,(859) 727-6400
Anchor Baptist Church,7910 S Meridian Rd,208-860-1486
"Andice Baptist Church, Florence",6570 Fm 970,254-793-2557
Andersonville First Baptist Church,3949 Andersonville Hwy,(865) 494-7675
Andersonville Baptist Church,6902 Dobbins Bridge Rd,864-225-8401
Anderson Mill Road Baptist Church,4371 Anderson Mill Rd,864-576-7548
Anderson Tully Baptist Church,22133 Highway 214 E,
"Anderson Mill Baptist Church, Austin",10633 Lake Creek Pkwy,512-258-5843
Anderson Hills First Baptist Church,1674 Eight Mile Rd,513-474-2441
Anderson Grove,2225 E Main St,(704) 982-2203
Anderson First Baptist Church,307 S Manning St,864-224-1622
Anderson First,245 Church St,(256) 247-3871
Anderson Drive Baptist Church,260 Anderson Dr,(912) 427-6225
Anderson Chapel Baptist Church,26711 Hwy 54 East,(870) 382-3425
"Anderson Creek Community Church, SBC, Inc.",2085 Ray Rd,(910) 436-0548
Anderson Baptist Church,PO BOX 784,936-873-3363
Anderson Chapel Baptist Church,820 Timothy Ln,936-327-5308
Anderson Baptist Church,214 Hempstead 7,
Anderson,74 Anderson Church Road,(334) 402-0710
Andalusia First,700 E Three Notch St,(334) 222-5152
Anclote River Baptist Church dba RiverRock,2728 Holiday Lake Dr,
Anchored Bible Church (a ministry of Baptist Temple),705 Paradise Rd,(209) 523-2580
Ancient City Baptist Church,27 Sevilla St,(904) 829-3476
Annandale Bible Church,7825 Heritage Dr,
Anchored in Truth Ministries,1915 Avalon Ave,(256) 381-7495
Anna Heights Baptist Church,100 Turner Ave,(618) 833-5916
Anna Street Baptist Church,1400 Anna St,(916) 804-0675
Annadale Baptist Church,1511 14th St,(559) 875-3212
"Ankeny, Cornerstone Baptist Church",701 E 1st St,515-964-3653
"Ankeny, First Family Church",317 SE Magazine,515-965-8300
Ann Arbor Chinese Christian Church,1750 Dhu Varren Rd,734-668-9128
Ankeny Gospel Church,PO Box 1397,
Angus Baptist Church,6155 S Interstate Highway 45 E,903-872-4673
Angus Acres Baptist Church,4401 S 129th West Avenue,(918) 245-0266
Anguilla First,102 Church Street,(601) 214-4306
Angier Baptist,155 S Hickory St,(919) 639-6114
Angie Baptist Church,64458 Royal St,(985) 986-2878
Angels Way Baptist Church,801 Angels Way,(870) 739-1110
Angeles Mission,824 Venice Blvd,(213) 629-1227
Angel’s Rest Baptist Fellowship,1601 Wenonah Ave,540-921-1234
Angel Grove Baptist Church,4404 Alabama Highway 204,(256) 435-3636
Angel Fire Baptist Church,63 South Angel Fire Road,575-377-3107
Andrews First Baptist Church,6 N Rosemary Ave,(843) 264-5746
Anew Life Ministry Missionary Baptist Church,3901 E 14th Ave,(219) 977-1402
Andrews First,1606 Business 19,(828) 321-5112
Andrew Chapel Baptist Church,1162 Trickhambridge Rd,(601) 824-8863
Andover Baptist Church,1009 Andover Rd,410-850-7117
Ansonville,167 Plank Road,(704) 475-0334
Answers Community Church,4495 Columbia Rd Ste 3,(240) 674-3667
Ansted Baptist Church,114 Holly Street,304-658-4321
Ansley Baptist Church,328 Ansley Rd,(318) 251-1827
Ansley,5219 County Road 1135,(334) 566-9197
Anselm Bible Church,7615 S Western Ave,(951) 212-2877
Another Chance Restoration Church,2519 FOXGLOVE DR,
Another Chance Church,9550 S Harvard Ave,(773) 998-1641
Another Chance Church,2200 Willow Street,(334) 413-2783
Andover Baptist Church,1043 S Andover Rd,316-733-2455
Anothen Church,236 Choate Ave,(704) 724-5029
Anon,20867 US Highway 31,
Anointing Ministry Church,2902 Montrose Avenue,(818) 279-1262
Anointed Word Christian Ministries,400 Technology Ct SE Ste J,
Anointed Vision Baptist Mission,3006 Central Heights Rd,(919) 778-3006
"Anointed Fellowship, Dallas",7230 S Hampton Rd,(972) 228-8453
Anointed By Faith,129 Sunset St,(706) 443-5095
Anointed Grace Ministries,456 W 167th St Apt 3B,(646) 574-9583
"Anointed Gospel Tabernacle, Gun Barrel City",519 Gun Barrel Lane,
Anointed Baptist Church,126 Arlington Street,508-333-7931
Annville Baptist Church,120 Church St,(606) 364-2832
Annistown Road Baptist Church,4554 Annistown Rd,(770) 979-2422
Anniston First Baptist Church at McClellan,851 Morton Rd,(256) 847-0230
Antioch,580 Antioch Church Rd,(828) 632-2929
Antioch,1707 White Cross Rd,(919) 929-2230
"Annaville Baptist Church, Corpus Christi",4025 Violet Rd,361-241-9557
Annie Mary Baptist Church,327 Highway 11,(770) 464-0303
Antioch,9 Antioch Church Rd,(828) 620-1265
Antioch,148 Drum St,(336) 626-0818
Antioch,542 Iron Duff Rd,(828) 627-1200
Antioch,1298 Antioch Church Rd,(336) 984-2323
Antioch,137 Antioch Ave,(336) 789-2057
Antioch,677 Antioch Church Rd,(336) 597-3755
Antioch,16920 Stokes Ferry Rd,(704) 209-6155
Antioch,3387 E Highway 150,(704) 732-1351
Antioch,6670 Old US Highway 421,(910) 893-5984
Antioch,1237 Rozier Siding Rd,(910) 740-5852
Antioch,6223 Love Mill Rd,(704) 753-4977
Anthony Grove,100 Anthony Grove Rd,(704) 435-6001
Anthony Drive Baptist Church,PO Box 9,972-875-3632
Anthology Church of Studio City,12621 Rye St.,(818) 468-6693
Anthony Baptist Church,2551 NE 98th St,(352) 732-5600
Anthem Community Church,10885 S. Eastern Ave. Suite 100,702-750-2970
Anthem Church of Coastal North County,760 Sycamore Ave Ste C,(760) 330-5779
Anthem Church,455 W Depot St,(919) 414-6151
Anthem Church,2604 Paris Rd,(515) 553-9551
Anthem Church,7777 S Garnett Road,(918) 794-7200
Antelope Valley Chinese Baptist Church,405 E Avenue J,(661) 729-5576
Antioch,20189 Veterans Memorial Pkwy,
Antelope Baptist Church,132 Valentine St.,940-378-2447
Antioch,3306 County Road 3310,(334) 566-6754
Antioch,71 Antioch Rd,
Antioch,1501 Antioch Rd,(251) 846-3037
Antioch,14617 County Rd 82,
Antioch,139 Countess Rd NE,
Antioch,420 County Road 18,(256) 287-0700
Antioch,1677 Duncan Rd.,(205) 221-2426
Antioch,2454 Mountain Gap Rd,(205) 487-3106
Antioch,827 County Road 1659,
Antioch,8424 County Road 2,(205) 489-5483
Antioch,88 County Hwy. 49,(205) 429-2248
Antioch,Highway 586,(601) 310-7093
Antioch,1700 Midway Rd SE,(910) 253-5323
Antioch,5089 Old Whiteville Rd,(910) 739-9425
Antioch,1463 Antioch Church Rd,(910) 640-1467
Antioch,821 Hwy 9 N,
Antioch,3258 Brozville Rd,(662) 834-2651
Antioch,22 E Lincoln Rd,601-833-7726
Antioch Baptist Church,5203 County Rd 795,(386) 362-3101
Antioch Baptist Church,130 1st St,(256) 878-4721
Antioch,2441 Antioch Rd,(828) 437-7740
Antioch Baptist Church,2650 McIntosh Rd,(256) 831-5313
Antioch Baptist Church,1555 County Road 56,(256) 623-3037
Antioch Baptist Church,4164 State Hwy 172,(205) 269-5244
Antioch Baptist Church,1115 Antioch Rd,(334) 300-1525
Antioch Baptist Church,27 Antioch Church Rd,(706) 745-4350
Antioch Baptist Church,1205 Antioch Dr,(706) 278-1305
Antioch Baptist Church,2479 Antioch Church Rd NW,(706) 283-5693
Antioch Baptist Church,236 Crow Gap Rd,(423) 903-1895
Antioch Baptist Church,3923 Antioch Rd,
Antioch Baptist Church,1055 Old Highway 100,
Antioch Baptist Church,31 Antioch Church Rd,(770) 258-5104
Antioch Baptist Church,2175 Antioch Church Rd,(706) 754-2687
Antioch Baptist Church,2666 Dews Pond Rd SE,(706) 625-3866
Antioch Baptist Church,2465 Antioch Rd,(678) 456-8684
Antioch Baptist Church,135 Railroad St,(706) 759-0077
Antioch Baptist Church,3986 State Route 1372,(270) 472-0950
Antioch Baptist Church,4981 Sulphur Well - Knob Lick RD,(270) 565-4244
Antioch Baptist Church,315 Antioch Church Rd,(270) 665-5998
Antioch Baptist Church,7596 Duncan Ridge Rd,(270) 755-2656
Antioch Baptist Church,2152 Paris Karr RD,(606) 523-9105
Antioch Baptist Church,500 West Broadway,(918) 682-7603
Antioch Baptist Church,40022 S CR 4460,(918) 967-8556
Antioch Baptist Church,3835 Bonlee Carbonton Rd,(919) 837-5591
Antioch Baptist Church,100 S. Cedar,(918) 913-8063
Antioch Baptist Church,8490 NC Highway 39,(919) 965-8249
Antioch Baptist Church,1111 Antioch Rd,(706) 474-1913
Antioch Baptist Church,1415 Holloway St,(919) 688-8893
Antioch Baptist Church,4526 Big Texas Valley Rd NW,(706) 232-7248
Antioch Baptist Church,210 Handley St,(706) 812-4885
Antioch Baptist Church,2269 Barnesville Hwy,(706) 472-3373
Antioch Baptist Church,2235 Antioch Church Rd,(478) 272-1590
Antioch Baptist Church,4539 Ellenton Omega Rd,(229) 272-1333
Antioch Baptist Church,1873 Harts Mill Rd,(229) 859-2583
Antioch Baptist Church,7507 Old Gordon Rd,(478) 743-1686
Antioch Baptist Church,275 Antioch Church Rd,(706) 327-9514
Antioch Baptist Church,5355 Seminole Rd,
Antioch Baptist Church,Antioch Ch Rd and Pulaski High School Rd,
Antioch Baptist Church,638 Antioch Church Rd,(912) 294-1156
Antioch Baptist Church,1872 Briarwood Rd,
Antioch Baptist Church,706 Antioch Rd,(229) 273-2563
Antioch Baptist Church,8102 Waters Ave,912-354-8815
Antioch Baptist Church,RR 1,(618) 728-4467
Antioch Baptist Church,4824 Antioch Rd,(850) 682-4297
Antioch Baptist Church,284 McCall Bridge Rd,(850) 627-3813
Antioch Baptist Church,3612 NW 177th Ave,(386) 462-2768
Antioch Baptist Church,2030 Antioch Church Rd,(229) 221-3376
Antioch Baptist Church,6237 Front St,(910) 980-1073
Antioch Baptist Church,1121 Bethlehem Rd,843-332-9824
Antioch Baptist Church,RR 3 Box 2090,
Antioch Baptist Church,1875 Antioch Rd,803-432-7286
Antioch Baptist Church,1843 Sc Highway 23 W,803-637-3977
Antioch Baptist Church,1477 W E Jeffcoat Rd,803-568-2296
Antioch Baptist Church,4070 Heathsville Rd,(252) 445-2444
Antioch Baptist Church,2080 Highway 129,843-358-6390
Antioch Baptist Church,18 Campbell Rd,843-658-7193
Antioch Baptist Church,13683 Highway 221,864-969-3184
Antioch Baptist Church,169 Antioch Church Rd,
Antioch Baptist Church,991 Antioch Church Rd,
Antioch Baptist Church,3415 Wilson School Rd,(731) 989-9042
Antioch Baptist Church,218 Canal St,
Antioch Baptist Church,2807 Old Alabama Rd SW,
Antioch Baptist Church,839 Antioch Rd,864-936-7726
Antioch Baptist Church,425 Antioch Rd,(731) 783-5330
Antioch Baptist Church,9327 Tibbs Rd,(901) 491-5783
Antioch Baptist Church,989 Antioch Church Rd,
Antioch Baptist Church,484 Antioch Church Rd,(731) 538-9669
Antioch Baptist Church,1014 Antioch Rd,(423) 929-3931
Antioch Baptist Church,2524 Indian Creek Rd,(865) 397-2044
Antioch Baptist Church,10306 SW 67th ST,(580) 704-2824
Antioch Baptist Church,11812 Highway 80,(318) 382-5991
Antioch Baptist Church,3501 Highway 828,(318) 368-3591
Antioch Baptist Church,2161 Edgerly Dequincy Rd,
Antioch Baptist Church,15937 Highway 175,(318) 872-3126
Antioch Baptist Church,43 Antioch Rd,(318) 728-4047
Antioch Baptist Church,50113 Antioch Rd,(985) 345-9314
Antioch Baptist Church,3315 Dixie Hwy,(502) 448-4070
Antioch Baptist Church,2607 Antioch Church Rd,(662) 585-3570
Antioch Baptist Church,4247 Hwy 421 S.,(502) 592-5509
Antioch Baptist Church,560 Dess Rd,(318) 586-7825
Antioch Baptist Church,2241 Slagle Loop,(337) 238-0160
Antioch Baptist Church,12150 Road 298,(662) 542-8382
Antioch Baptist Church,50235 Acker Rd,662-256-4186
Antioch Baptist Church,4088 Antioch Rd,(601) 892-5559
Antioch Baptist,4285 Pleasant Hill Rd,662-773-2264
Antioch Baptist,396 County Road 518,(662) 728-3253
Antioch Baptist,929 County Road 3,
Antioch at Martling Baptist Church,1953 Needmore Rd,
Antioch at Columbiana,2870 Highway 61,(205) 669-9706
Antioch #2 Baptist Church,8245 CR 10,(205) 739-8705
Antioch #2 Baptist Church,180 Antioch South Rd,(229) 362-4135
"Antioch Baptist Church, Aubrey",7478 Fm 2931,940-365-3521
Antioch Baptist Church,1611 Hwy 18,601-725-4507
"Antioch Baptist Church, Atlanta",5820 Fm 2791,903-796-2789
Antioch Baptist Church of Hawaii,98-612 Moanalua Loop,808-488-7552
"Antioch Baptist Church of Eagle Lake, Inc.",4335 Transport Rd,(863) 224-3740
Antioch Baptist Church,6700 Barnesville Hwy,434-735-8101
Antioch Baptist Church,203 6th St,(806) 492-3913
Antioch Baptist Church,6080 Highway 45 N,(601) 573-4890
Antioch Baptist Church,793 County Road 313 W,903-597-6131
Antioch Baptist Church,455 Pink Hill Rd.,903-965-7312
Antioch Baptist Church,1734 Antioch Church Road,803-285-3922
Antioch Baptist Church,135 Cook Rd,(615) 325-4359
Antioch Baptist Church,20230 Peters Bridge Rd,434-535-8164
Antioch Baptist Church,4422 Antioch Rd,434-286-6315
Antioch Baptist Church,454 Lloyds Rd,804-443-9232
Antioch Baptist Church,11484 Saint Just Rd,540-854-7757
Antioch Baptist Church,1271 CR 412,601-776-2639
Antioch Baptist Church,1645 Fm 2608,936-591-9472
Antioch Baptist Church,16513 Waterfall Road,(540) 687-6454
Antioch Baptist Church,PO Box 267,254-754-1558
Antioch Baptist Church,1044 High School Rd,601-394-2657
Antioch Baptist Church,907 E Murchison St,903-723-7261
Amanuel Ethiopian Evangelical Church,5411 Franconia Rd,(703) 678-0700
Amanuel Ethiopian Eritrean Fellowship Church,2432 W Gate City Blvd,(702) 945-8184
Amagon Baptist Church,100 S Duncan,
Alverson Grove Baptist Church,3695 Peachtree Rd,864-592-9317
"Alpha Baptist Church, Laredo",690 SE 70th St,(660) 286-3235
Alpha Baptist Church,245 Saint Johns Rd,(423) 581-3237
Altamont Baptist Church,1440 Main St,(931) 692-3984
Altamahaw,3445 Altamahaw Church St,(336) 584-1242
Alexander First Baptist Church,15320 Alexander Rd,
Alexander City First,64 Court Sq,(256) 234-6351
Alexander Memorial,208 S Main St,(704) 825-3216
Alexander Memorial Baptist Church,525 James Crossing Rd,(662) 645-9758
Aiken Baptist Church,925 UTICA ST,806-296-5654
Alamo Navajo Baptist Church,ALAMO ROUTE,575-854-2228
Aimoch Baptist Church,235 Highway 503,(318) 316-3689
Ai Baptist Church,3079 County Rd. 62,(256) 748-8865
Agape Missionary Baptist Church,1488 W Lincoln Trail Blvd,(270) 877-0836
Agape Missionary Baptist Church,110 South Oporto Madrid,(205) 833-9960
Agape Missionary Baptist Church,1832 S Griswold St,
Agape Mission Church,331 Haywood Lane,(615) 429-3962
Agape Mission Center,3305 Norbeck Rd,(301) 924-9191
Agape Mission Baptist Church,1635-A Palolo Ave.,808-735-0011
Agape Ministries,1300 Pittsburg Ave NW,760-705-7141
Agape Life Ministries Inc.,8568 Laureldale Drive,301-725-6525
Agape Korean Baptist Church,1948 The Alameda,(408) 493-3966
Agape Korean Baptist,87 Tulip Ln,937-256-0387
Agape Korean Baptist Church,797 Sanders Rd,(224) 522-9441
Agape International Church and Ministries,605 W Madill St,(925) 709-4424
Agape International Baptist Church,6848 Elmwood Ave,(215) 386-1865
Agape Global Ministries,2841 Old Steele Creek Rd,(704) 563-4496
Agape Fellowship Baptist Church,"2195 SE Airoso Blvd Port St Lucie Community Center, Room E",(954) 654-6796
Agape Fellowship,1703 W Worley St,
Agape Fellowship,PO Box 865,(907) 723-1787
Agape Deaf Baptist Church,5485 Five Forks Trickum Rd,(470) 610-4555
Agape Community Fellowship Church,1420 W Everman Pkwy,817-263-4221
Agape Ebenezer Karen Baptist Church,3900 Southwest Blvd,817-923-6800
Agape Community Bible Church,12320 Beechnut St,832-398-0182
Agape Community Baptist Church,14455 Penasquitos Dr,(619) 944-7777
"Agape Church of Dallas, Allen",703 S Greenville Ave,(817) 896-0815
Agape Church,3870 Atlantic Blvd,(904) 365-9200
Adventure Church,2901 Luxford Ct,757-484-4693
Adventure Bible Church,1905 S Main St,
Advance First Baptist (AFBC),1938 NC Highway 801 S,(336) 998-6302
Advance Baptist Church,10069 Highway 1078 North,(270) 827-1481
Adullam Christian Ministries,141 Oak St,(828) 447-0648
Adriel Missionary Baptist Church,215 Adriel Dr,(865) 993-4264
Adriel Baptist Church,2836 Olney Rd,
Adrian Baptist Church,102 Nora Blvd,(478) 668-3589
Adoniram Baptist Church,6963 County Road 65,(334) 790-1120
Adonia Church,175 Ranch Vista Dr,(828) 778-9630
Adonai Community Baptist Church,6001 Elmwood Avenue,215-662-0572
Admant Missionary Baptist Church,8904 US Highway 421,276-546-3874
Adirondack Community Church,918 CR 60,315-848-2503
Adiel Baptist Church,1032 Highway C,
Adial Baptist Church,1090 Adial Rd,(540) 487-8216
Adger,4605 Adger Church Rd,
Adgateville Baptist Church,37 Clay Tillman Rd,
Adelphos World Missionary Church,2630 Ginger Dr,(678) 308-1257
"Adel, FSOBC",708 Nile Kinnick Dr S,515-993-3418
Adellum,12514 Brooklyn Road,(334) 222-0843
Adaville Baptist,805 Oakland Rd,(828) 286-2361
Addington Baptist Church,Hwy 81 & Purdy Rd.,(580) 439-5961
Adaton Baptist Church,2872 MS Hwy 182,662-323-3735
Adat Shalom Messianic Congregation,11306 Inwood Rd,972-271-4976
Agape Christian Fellowship Bay Area,42200 Albrae St Holiday Inn Express,(510) 371-1057
Agape Christian Fellowship,2631 S Cedar Creek Rd,(803) 353-5200
